US,145495
CN,172662
DE,80067
GB,43369
RU,66705
CA,23308
NL,16490
FR,17249
AU,15239
PL,19242
ES,14303
UA,13606
IT,17098
BR,16452
CZ,6019
TW,16335
SE,7958
NO,4036
CH,5463
FI,4692
JP,6631
AT,7012
BE,5810
AR,5863
HK,4917
